"","date","player_name","team","opponent","country","player_id","match_id","event_id","event_name","best_of","map_1","map_2","map_3","kills","assists","deaths","hs","flash_assists","kast","kddiff","adr","fkdiff","rating","m1_kills","m1_assists","m1_deaths","m1_hs","m1_flash_assists","m1_kast","m1_kddiff","m1_adr","m1_fkdiff","m1_rating","m2_kills","m2_assists","m2_deaths","m2_hs","m2_flash_assists","m2_kast","m2_kddiff","m2_adr","m2_fkdiff","m2_rating","m3_kills","m3_assists","m3_deaths","m3_hs","m3_flash_assists","m3_kast","m3_kddiff","m3_adr","m3_fkdiff","m3_rating","kills_ct","deaths_ct","kddiff_ct","adr_ct","kast_ct","rating_ct","kills_t","deaths_t","kddiff_t","adr_t","kast_t","rating_t","m1_kills_ct","m1_deaths_ct","m1_kddiff_ct","m1_adr_ct","m1_kast_ct","m1_rating_ct","m1_kills_t","m1_deaths_t","m1_kddiff_t","m1_adr_t","m1_kast_t","m1_rating_t","m2_kills_ct","m2_deaths_ct","m2_kddiff_ct","m2_adr_ct","m2_kast_ct","m2_rating_ct","m2_kills_t","m2_deaths_t","m2_kddiff_t","m2_adr_t","m2_kast_t","m2_rating_t","m3_kills_ct","m3_deaths_ct","m3_kddiff_ct","m3_adr_ct","m3_kast_ct","m3_rating_ct","m3_kills_t","m3_deaths_t","m3_kddiff_t","m3_adr_t","m3_kast_t","m3_rating_t","winner"
"1","2020-02-24","AZR","100 Thieves","G2","Australia",8082,2339378,4901,"IEM Katowice 2020",3,"Mirage","Dust2","",12,3,35,8,2,40.5,-23,41.6,-4,0.37,5,1,17,3,0,31.6,-12,34.9,-1,0.31,7,2,18,5,2,50,-11,48.7,-3,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,-7,48.6,14.3,0.11,12,28,-16,40,46.7,0.43,0,4,-4,16.2,NA,0.02,5,13,-8,39.9,40,0.39,0,3,-3,91.7,33.3,0.31,7,15,-8,40.1,53.3,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2","2020-02-24","Gratisfaction","100 Thieves","G2","New Zealand",9686,2339378,4901,"IEM Katowice 2020",3,"Mirage","Dust2","",15,8,34,4,6,43.2,-19,44.9,-5,0.44,9,3,16,2,2,47.4,-7,47.3,-2,0.51,6,5,18,2,4,38.9,-12,42.5,-3,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,-6,43.3,42.9,0.19,14,27,-13,45.3,43.3,0.5,0,4,-4,45.2,50,0.24,9,12,-3,47.8,46.7,0.58,1,3,-2,40.7,33.3,0.22,5,15,-10,42.9,40,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"3","2020-02-24","Liazz","100 Thieves","G2","Australia",10588,2339378,4901,"IEM Katowice 2020",3,"Mirage","Dust2","",12,11,35,6,4,54.1,-23,49.9,-6,0.55,7,5,18,2,1,57.9,-11,52.9,-3,0.62,5,6,17,4,3,50,-12,46.6,-3,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,-5,32.4,28.6,0.15,10,28,-18,53.9,60,0.64,1,4,-3,12.2,25,0.08,6,14,-8,63.8,66.7,0.77,1,3,-2,59.3,33.3,0.27,4,14,-10,44.1,53.3,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"4","2020-02-24","jkaem","100 Thieves","G2","Norway",8248,2339378,4901,"IEM Katowice 2020",3,"Mirage","Dust2","",20,6,33,13,4,51.4,-13,64.4,1,0.78,13,1,16,7,1,57.9,-3,76.4,1,0.98,7,5,17,6,3,44.4,-10,51.8,0,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0,94,71.4,1.07,14,27,-13,57.5,46.7,0.71,5,4,1,132.2,100,1.68,8,12,-4,61.5,46.7,0.8,1,2,-1,43,33.3,0.42,6,15,-9,53.5,46.7,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"5","2020-02-24","jks","100 Thieves","G2","Australia",4679,2339378,4901,"IEM Katowice 2020",3,"Mirage","Dust2","",28,3,34,18,0,59.5,-6,84.1,-1,0.9,12,1,18,10,0,57.9,-6,75.2,0,0.76,16,2,16,8,0,61.1,0,93.4,-1,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0,85,71.4,0.99,22,28,-6,83.8,56.7,0.87,5,4,1,123.8,75,1.46,7,14,-7,62.3,53.3,0.57,1,2,-1,33.3,66.7,0.47,15,14,1,105.4,60,1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"6","2020-02-24","NiKo","FaZe","Natus Vincere","Bosnia and Herzegovina",3741,2339375,4901,"IEM Katowice 2020",3,"Nuke","Dust2","Overpass",67,16,56,30,7,67.9,11,91.2,-2,1.17,22,8,20,11,2,80,2,91.6,-1,1.24,29,5,17,14,2,76.7,12,107.8,0,1.44,16,3,19,5,3,46.2,-3,71.6,-1,0.83,36,22,14,97.2,75,1.3,31,34,-3,85.3,61,1.04,10,7,3,99.7,80,1.29,12,13,-1,86.3,80,1.2,13,7,6,97.9,86.7,1.35,16,10,6,117.7,66.7,1.53,13,8,5,94.9,60,1.26,3,11,-8,39.8,27.3,0.25,1
"7","2020-02-24","broky","FaZe","Natus Vincere","Latvia",18053,2339375,4901,"IEM Katowice 2020",3,"Nuke","Dust2","Overpass",46,18,52,12,10,66.7,-6,62.9,2,0.93,20,8,14,6,3,88,6,83,1,1.36,15,4,20,2,4,66.7,-5,52.2,0,0.85,11,6,18,4,3,46.2,-7,55.9,1,0.68,27,22,5,71.7,80,1.11,19,30,-11,54.3,53.7,0.75,11,4,7,97.7,100,1.89,9,10,-1,73.1,80,1,7,10,-3,50.7,73.3,0.77,8,10,-2,53.7,60,0.93,9,8,1,75.3,73.3,0.97,2,10,-8,29.5,9.1,0.29,1
"8","2020-02-24","coldzera","FaZe","Natus Vincere","Brazil",9216,2339375,4901,"IEM Katowice 2020",3,"Nuke","Dust2","Overpass",55,13,53,34,4,72.8,2,76.8,7,1.11,22,6,13,16,2,80,9,90,3,1.45,22,4,19,12,1,83.3,3,85.3,7,1.31,11,3,21,6,1,53.8,-10,54.2,-3,0.6,32,22,10,85.6,85,1.33,23,31,-8,68.1,61,0.9,11,4,7,105.4,90,1.7,11,9,2,79.7,73.3,1.29,12,8,4,88.7,93.3,1.52,10,11,-1,81.9,73.3,1.09,9,10,-1,69.3,73.3,0.92,2,11,-9,33.5,27.3,0.16,1
"9","2020-02-24","olofmeister","FaZe","Natus Vincere","Sweden",885,2339375,4901,"IEM Katowice 2020",3,"Nuke","Dust2","Overpass",51,9,50,24,3,70.4,1,59.1,6,1,21,2,14,10,0,84,7,75,2,1.34,18,2,18,12,1,70,0,53.1,4,0.98,12,5,18,2,2,57.7,-6,50.6,0,0.73,26,19,7,63,80,1.1,25,31,-6,55.2,61,0.9,5,3,2,56.1,90,1.16,16,11,5,87.6,80,1.46,11,8,3,60.8,80,1.08,7,10,-3,45.5,60,0.88,10,8,2,69.8,73.3,1.09,2,10,-8,24.4,36.4,0.24,1
"10","2020-02-24","rain","FaZe","Natus Vincere","Norway",8183,2339375,4901,"IEM Katowice 2020",3,"Nuke","Dust2","Overpass",46,10,56,31,1,67.9,-10,73.3,-8,0.95,11,5,19,7,0,68,-8,67,-4,0.83,15,3,19,12,1,70,-4,63.9,-3,0.92,20,2,18,12,0,65.4,2,90.2,-1,1.13,29,24,5,81,77.5,1.15,17,32,-15,65.8,58.5,0.75,5,8,-3,80.6,70,0.9,6,11,-5,57.9,66.7,0.78,10,8,2,79.7,86.7,1.21,5,11,-6,48.1,53.3,0.63,14,8,6,82.6,73.3,1.28,6,10,-4,100.6,54.5,0.92,1
"11","2020-02-25","Brollan","fnatic","Natus Vincere","Sweden",13666,2339383,4901,"IEM Katowice 2020",3,"Dust2","Inferno","Mirage",55,17,48,33,8,66.7,7,68.8,-4,1.04,17,3,11,10,1,82.6,6,64.7,-1,1.26,15,6,20,8,2,56.7,-5,60.4,-2,0.73,23,8,17,15,5,64.3,6,81.1,-1,1.22,35,22,13,76.2,81.4,1.21,20,26,-6,60.4,50,0.85,13,6,7,72.5,93.3,1.42,4,5,-1,50,62.5,0.95,8,11,-3,58.5,60,0.69,7,9,-2,62.3,53.3,0.78,14,5,9,100.8,92.3,1.62,9,12,-3,64.1,40,0.88,0
"12","2020-02-25","Golden","fnatic","Natus Vincere","Sweden",11110,2339383,4901,"IEM Katowice 2020",3,"Dust2","Inferno","Mirage",45,12,51,27,2,71.6,-6,66.2,2,0.99,19,6,12,11,1,82.6,7,89.5,0,1.41,16,2,21,10,1,70,-5,66.4,2,0.96,10,4,18,6,0,64.3,-8,46.8,0,0.71,30,24,6,72.1,83.7,1.15,15,27,-12,59.6,57.9,0.81,15,8,7,98.2,86.7,1.61,4,4,0,73.2,75,1.05,7,10,-3,61.5,80,0.88,9,11,-2,71.3,60,1.04,8,6,2,54.2,84.6,0.96,2,12,-10,40.5,46.7,0.49,0
"13","2020-02-25","JW","fnatic","Natus Vincere","Sweden",3849,2339383,4901,"IEM Katowice 2020",3,"Dust2","Inferno","Mirage",51,17,55,20,4,64.2,-4,72.8,-2,1,8,6,14,3,1,69.6,-6,49.4,0,0.82,26,5,23,11,0,63.3,3,87.3,-4,1.16,17,6,18,6,3,60.7,-1,76.5,2,1.03,32,29,3,89.9,67.4,1.12,19,26,-7,53.5,60.5,0.87,6,9,-3,66.5,60,0.78,2,5,-3,17.4,87.5,0.89,17,12,5,118.7,66.7,1.39,9,11,-2,55.8,60,0.93,9,8,1,83.5,76.9,1.24,8,10,-2,70.5,46.7,0.84,0
"14","2020-02-25","KRIMZ","fnatic","Natus Vincere","Sweden",7528,2339383,4901,"IEM Katowice 2020",3,"Dust2","Inferno","Mirage",69,17,44,30,8,72.8,25,84.5,8,1.33,31,6,10,15,4,91.3,21,130.9,6,2.16,17,5,17,7,3,63.3,0,60.6,1,0.86,21,6,17,8,1,67.9,4,71.9,1,1.2,44,22,22,94,81.4,1.5,25,22,3,73.7,63.2,1.13,21,7,14,131,93.3,2.14,10,3,7,130.8,87.5,2.2,10,9,1,61.8,66.7,0.88,7,8,-1,59.5,60,0.84,13,6,7,88.5,84.6,1.56,8,11,-3,57.6,53.3,0.89,0
"15","2020-02-25","flusha","fnatic","Natus Vincere","Sweden",3055,2339383,4901,"IEM Katowice 2020",3,"Dust2","Inferno","Mirage",52,25,49,20,6,77.8,3,85.2,0,1.12,15,4,12,7,1,78.3,3,78,-2,1.09,17,11,17,4,2,86.7,0,84.2,1,1.15,20,10,20,9,3,67.9,0,92.3,1,1.14,32,24,8,98.4,86,1.3,20,25,-5,70.3,68.4,0.92,8,7,1,68.3,80,0.97,7,5,2,96.1,75,1.31,11,9,2,98.1,86.7,1.27,6,8,-2,70.3,86.7,1.04,13,8,5,133.5,92.3,1.75,7,12,-5,56.6,46.7,0.62,0
"16","2020-02-26","AmaNEk","G2","mousesports","France",9616,2339384,4901,"IEM Katowice 2020",3,"Dust2","Inferno","Nuke",54,16,45,25,3,73,9,82.8,-1,1.16,19,7,19,8,3,69,0,79.9,-1,1.06,17,5,13,9,0,81.8,4,86.3,0,1.28,18,4,13,8,0,69.6,5,83.1,0,1.22,27,24,3,81.4,64.9,1.01,27,21,6,84.2,81.1,1.31,7,11,-4,59.9,42.9,0.54,12,8,4,98.6,93.3,1.54,12,10,2,85.4,73.3,1.15,5,3,2,88.1,100,1.55,8,3,5,111.4,87.5,1.65,10,10,0,68.1,60,1,0
"17","2020-02-26","JaCkz","G2","mousesports","France",284,2339384,4901,"IEM Katowice 2020",3,"Dust2","Inferno","Nuke",38,17,45,22,4,79.7,-7,63.6,2,1.04,14,8,19,6,3,79.3,-5,61.3,1,1.06,10,8,14,7,1,86.4,-4,66.4,3,1.07,14,1,12,9,0,73.9,2,63.9,-2,1.08,17,23,-6,59.8,75.7,0.85,21,22,-1,67.4,83.8,1.24,2,12,-10,36.9,57.1,0.33,12,7,5,84.1,100,1.74,6,8,-2,52.5,80,0.92,4,6,-2,96.3,100,1.41,9,3,6,113.9,100,1.8,5,9,-4,37.3,60,0.69,0
"18","2020-02-26","huNter-","G2","mousesports","Serbia",3972,2339384,4901,"IEM Katowice 2020",3,"Dust2","Inferno","Nuke",62,9,51,39,0,74.3,11,89,2,1.21,19,3,24,9,0,65.5,-5,79.4,0,0.98,21,2,13,15,0,77.3,8,94.1,2,1.37,22,4,14,15,0,82.6,8,96.2,0,1.37,29,30,-1,84.3,64.9,0.98,33,21,12,93.7,83.8,1.44,6,14,-8,57.7,50,0.44,13,10,3,99.7,80,1.49,14,10,4,96.1,66.7,1.24,7,3,4,89.9,100,1.65,9,6,3,108.6,87.5,1.52,13,8,5,89.5,80,1.29,0
"19","2020-02-26","kennyS","G2","mousesports","France",7167,2339384,4901,"IEM Katowice 2020",3,"Dust2","Inferno","Nuke",64,16,36,22,5,79.7,28,90.8,6,1.46,19,4,16,7,1,69,3,68.7,-1,1.07,22,4,8,7,4,81.8,14,92.1,3,1.64,23,8,12,8,0,91.3,11,117.2,4,1.83,30,17,13,82.8,81.1,1.31,34,19,15,98.7,78.4,1.61,8,9,-1,58.9,57.1,0.72,11,7,4,77.9,80,1.39,17,5,12,106,93.3,1.89,5,3,2,62.4,57.1,1.08,5,3,2,81.2,100,1.33,18,9,9,136.4,86.7,2.1,0
"20","2020-02-26","nexa","G2","mousesports","Serbia",9618,2339384,4901,"IEM Katowice 2020",3,"Dust2","Inferno","Nuke",54,14,43,29,7,79.7,11,70.5,7,1.19,19,7,19,10,6,72.4,0,66.3,2,1,16,6,13,8,1,86.4,3,81.1,4,1.22,19,1,11,11,0,82.6,8,65.5,1,1.4,30,27,3,87.4,81.1,1.08,24,16,8,53.6,78.4,1.29,12,13,-1,92.1,71.4,0.94,7,6,1,42.3,73.3,1.06,10,11,-1,89.9,86.7,1.06,6,2,4,62.1,85.7,1.55,8,3,5,74.2,87.5,1.37,11,8,3,60.9,80,1.41,0
"21","2020-02-24","AmaNEk","G2","100 Thieves","France",9616,2339378,4901,"IEM Katowice 2020",3,"Mirage","Dust2","",40,9,15,17,2,91.9,25,107.2,3,1.74,24,4,10,10,1,89.5,14,119.8,3,1.88,16,5,5,7,1,94.4,11,93.9,0,1.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,12,19,100.2,90,1.64,9,3,6,137,100,2.18,21,8,13,126.3,86.7,1.98,3,2,1,95.2,100,1.51,10,4,6,74.1,93.3,1.34,6,1,5,192.7,100,3.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"22","2020-02-24","JaCkz","G2","100 Thieves","France",284,2339378,4901,"IEM Katowice 2020",3,"Mirage","Dust2","",27,10,18,17,3,86.5,9,79.7,6,1.39,15,3,10,6,0,78.9,5,80.7,1,1.36,12,7,8,11,3,94.4,4,78.6,5,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,15,3,64.3,86.7,1.18,9,3,6,145.7,85.7,2.27,9,8,1,63.3,80,1.13,6,2,4,146,75,2.2,9,7,2,65.2,93.3,1.23,3,1,2,145.3,100,2.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"23","2020-02-24","huNter-","G2","100 Thieves","Serbia",3972,2339378,4901,"IEM Katowice 2020",3,"Mirage","Dust2","",41,7,19,20,0,91.9,22,112.1,4,1.77,19,4,8,10,0,89.5,11,101.8,1,1.64,22,3,11,10,0,94.4,11,122.9,3,1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,15,20,122,93.3,1.85,6,4,2,69.6,85.7,1.42,14,6,8,99.5,93.3,1.62,5,2,3,110.2,75,1.69,21,9,12,144.5,93.3,2.1,1,2,-1,15.3,100,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
